SCHUL_CODE,공시년도,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,학교명,연도,학교시설확충,세입세출구분,정부이전수입/인적자원운용,학부모부담수입/기본적교육활동,행정활동수입/교육활동지원,1인당 예산,설립구분,지역,학교과정구분명(초-중-고),학교교육시설 보수확충금액,학생복지및 자치활동지원금액
S010000766,1981,0.502751677071752,C,서울신구초등학교,2022,,예산세입,534918000,0,173959000,,공립,서울특별시 강남구,초,0.0,100000.0
S010000766,1981,0.502751677071752,C,서울신구초등학교,2022,159706000.0,예산세출,7220000,71410000,89504000,1479170.8,공립,서울특별시 강남구,초,0.0,100000.0
S010000766,1981,0.502751677071752,C,서울신구초등학교,2023,,예산세입,599949000,39245000,125000000,,공립,서울특별시 강남구,초,0.0,0.0
S010000766,1981,0.502751677071752,C,서울신구초등학교,2023,100000000.0,예산세출,12990000,110100000,101849000,1840716.7,공립,서울특별시 강남구,초,0.0,0.0
S010000766,1981,0.502751677071752,C,서울신구초등학교,2024,,예산세입,754254000,38006000,20500000,,공립,서울특별시 강남구,초,,
S010000766,1981,0.502751677071752,C,서울신구초등학교,2024,0.0,예산세출,22170000,131452000,116210000,1990239.3,공립,서울특별시 강남구,초,,
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2022,,예산세입,616934000,0,2000000,,공립,서울특별시 서초구,초,0.0,0.0
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2022,0.0,예산세출,10214000,134075000,149362000,499557.5,공립,서울특별시 서초구,초,0.0,0.0
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2023,,예산세입,646341000,0,8200000,,공립,서울특별시 서초구,초,0.0,46.0
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2023,0.0,예산세출,9500000,184644000,120077000,570911.5,공립,서울특별시 서초구,초,0.0,46.0
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2024,,예산세입,750636000,0,12500000,,공립,서울특별시 서초구,초,,
S010000767,1946,0.2700570960917959,A,서울신동초등학교,2024,0.0,예산세출,18340000,214500000,114610000,673213.0,공립,서울특별시 서초구,초,,
