CO_STB_YN,FOND_SC_CODE,SEM,NO2_STB_YN,ETHY_BENZENE_STB_YN,BENZENE_STB_YN,XYLENE_STB_YN,ITENI_RSLT_NMVL,RN_RSLT_NMVL,NAT_VNTLA_STB_YN,AIR_BACT_RSLT_NMVL_3,AIR_BACT_RSLT_NMVL_2,CO2_RSLT_NMVL_3,CO2_RSLT_NMVL_2,BLKB_ITENI_STB_YN,GMNSM_MNUT_DST_RSLT_NMVL,DES_ITENI_STB_YN,NSE_STB_YN,MITE_STB_YN,CO2_RSLT_NMVL,SCHUL_CODE,DES_ITENI_RSLT_NMVL,PBAN_EXCP_YN,VOCS_STB_YN,AIR_BACT_RSLT_NMVL,RN_STB_YN,UGWTR_STB_YN,AIR_BACT_STB_YN,ULTRA_DST_RSLT_NMVL,BNHH_YN,ATPT_OFCDC_ORG_NM,NSE_RSLT_NMVL,SCHUL_NM,HCHO_STB_YN,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,WTERR_STB_YN,ADRCD_CD,GMNSM_MNUT_DST_STB_YN,PBAN_YR,MNUT_DST_RSLT_NMVL,ITENI_STB_YN,HCHO_RSLT_NMVL_3,HCHO_RSLT_NMVL_2,JU_ORG_NM,FALL_BACT_STB_YN,MNUT_DST_STB_YN,HCHO_RSLT_NMVL,PBAN_DGR,MNUT_DST_RSLT_NMVL_3,MNUT_DST_RSLT_NMVL_2,O3_RSLT_NMVL,CO2_STB_YN,ULTRA_DST_STB_YN,BLKB_ITENI_RSLT_NMVL,ULTRA_DST_RSLT_NMVL_3,ULTRA_DST_RSLT_NMVL_2,STYLENE_STB_YN,SEM_STR,ADRCD_NM,GMNSM_MNUT_DST_RSLT_NMVL_3,SCHUL_KND_SC_CODE,ASBESTOS_STB_YN,GMNSM_MNUT_DST_RSLT_NMVL_2,JU_ORG_CODE,O3_RSLT_NMVL_3,O3_RSLT_NMVL_2,O3_STB_YN,TOLUENE_STB_YN,NO2_RSLT_NMVL,TOLUENE_RSLT_NMVL,BENZENE_RSLT_NMVL,FALL_BACT_RSLT_NMVL,VOCS_RSLT_NMVL,STYLENE_RSLT_NMVL,CO_RSLT_NMVL,MITE_RSLT_NMVL,ASBESTOS_RSLT_NMVL,ETHY_BENZENE_RSLT_NMVL,XYLENE_RSLT_NMVL,SCHUL_CRSE_SC_VALUE,SCHUL_CRSE_SC_VALUE_NM,VNTLA_RSLT_NMVL,NO2_RSLT_NMVL_3,NO2_RSLT_NMVL_2,VOCS_STB_YN_RSN,RN_RSLT_NMVL_3,RN_RSLT_NMVL_2,CO_RSLT_NMVL_3,CO_RSLT_NMVL_2,XYLENE_STB_YN_RSN,ETHY_BENZENE_STB_YN_RSN,TOLUENE_STB_YN_RSN,BENZENE_STB_YN_RSN,FALL_BACT_RSLT_NMVL_3,VNTLA_STB_YN,FALL_BACT_RSLT_NMVL_2,STYLENE_STB_YN_RSN,VNTLA_STB_YN_RSN,VOCS_RSLT_NMVL_2,FALL_BACT_STB_YN_RSN,BENZENE_RSLT_NMVL_3,BENZENE_RSLT_NMVL_2,TOLUENE_RSLT_NMVL_3,TOLUENE_RSLT_NMVL_2,ETHY_BENZENE_RSLT_NMVL_3,ETHY_BENZENE_RSLT_NMVL_2,STYLENE_RSLT_NMVL_3,STYLENE_RSLT_NMVL_2,XYLENE_RSLT_NMVL_3,XYLENE_RSLT_NMVL_2,MITE_RSLT_NMVL_2,ASBESTOS_RSLT_NMVL_2,HCHO_STB_YN_RSN,CO2_STB_YN_RSN,NO2_STB_YN_RSN,ASBESTOS_STB_YN_RSN,MITE_STB_YN_RSN,AIR_BACT_STB_YN_RSN,ULTRA_DST_STB_YN_RSN,MNUT_DST_STB_YN_RSN,RN_STB_YN_RSN,CO_STB_YN_RSN,GMNSM_MNUT_DST_STB_YN_RSN,O3_STB_YN_RSN,MITE_RSLT_NMVL_3,ASBESTOS_RSLT_NMVL_3,VOCS_RSLT_NMVL_3,WTERR_STB_YN_RSN,UGWTR_STB_YN_RSN,ITENI_STB_YN_RSN,NSE_STB_YN_RSN,DES_ITENI_STB_YN_RSN,BLKB_ITENI_STB_YN_RSN,PBAN_EXCP_RSN,NAT_VNTLA_STB_YN_RSN,연도,학교급코드,HS_KND_SC_NM
적합,공립,2.0,적합,해당없음,해당없음,해당없음,1.3,18.5,실시,,,,,적합,47.2,적합,적합,적합,848.0,S010000743,646.0,N,해당없음,705.0,적합,,적합,22.2,N,서울특별시교육청,43.3,서울대곡초등학교,적합,B100000001,1,,1168010600.0,적합,2022.0,38.2,적합,,,서울특별시강남서초교육지원청,적합,적합,34.1,1.0,,,0.018,적합,적합,504.0,,,해당없음,상반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,해당없음,0.015,,,0.0,,,0.6,20.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
해당없음,공립,1.0,해당없음,해당없음,해당없음,해당없음,,,,,,,,,47.2,,,해당없음,874.3,S010000743,,N,해당없음,705.0,해당없음,,적합,22.2,N,서울특별시교육청,,서울대곡초등학교,해당없음,B100000001,1,,1168010600.0,적합,2022.0,38.2,,,,서울특별시강남서초교육지원청,해당없음,적합,,1.0,,,0.01,적합,적합,,,,해당없음,하반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,해당없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,적합,적합,적합,1.1,32.8,실시,,,,,적합,57.1,적합,적합,적합,746.0,S010000744,307.0,N,적합,355.0,적합,,적합,19.6,N,서울특별시교육청,45.7,서울대도초등학교,적합,B100000001,1,,1168011800.0,적합,2022.0,42.4,적합,,,서울특별시강남서초교육지원청,적합,적합,13.4,1.0,,,0.01,적합,적합,301.0,,,적합,상반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,적합,0.02,148.1,0.7,3.0,255.0,4.6,0.3,19.0,0.002,3.3,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,적합,적합,적합,,19.4,,,,,,,11.0,,,적합,726.0,S010000744,,N,적합,536.5,적합,,적합,3.4,N,서울특별시교육청,,서울대도초등학교,적합,B100000001,1,,1168011800.0,적합,2022.0,9.0,,,,서울특별시강남서초교육지원청,적합,적합,13.4,1.0,,,0.02,적합,적합,,,,적합,하반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,적합,0.02,8.3,1.6,2.0,99.9,2.2,0.4,20.0,0.0,2.3,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
해당없음,공립,2.0,해당없음,해당없음,해당없음,해당없음,1.2,37.4,실시,,,938.0,926.0,적합,89.0,적합,적합,적합,912.0,S010000745,570.0,N,해당없음,733.0,적합,,적합,38.0,N,서울특별시교육청,41.5,서울대모초등학교,적합,B100000001,1,적합,1168011400.0,적합,2022.0,75.0,적합,,,서울특별시강남서초교육지원청,해당없음,적합,19.5,1.0,73.0,80.0,0.014,적합,적합,473.0,35.0,38.0,해당없음,상반기,서울특별시 강남구,100.0,2,해당없음,95.0,B100000249,0.025,0.017,적합,해당없음,,,,,,,,20.0,,,,2.0,초,30.2,,,,,,,,,,,,,적합,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
해당없음,공립,1.0,해당없음,해당없음,해당없음,해당없음,,0.0,,,,,,,94.8,,,해당없음,925.3,S010000745,,N,해당없음,733.0,적합,,적합,34.8,N,서울특별시교육청,,서울대모초등학교,해당없음,B100000001,1,,1168011400.0,적합,2022.0,74.6,,,,서울특별시강남서초교육지원청,해당없음,적합,,1.0,,,0.01,적합,적합,,,,해당없음,하반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,해당없음,,,,,,,,,,,,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,적합,적합,적합,1.1,19.6,실시,,,,,적합,62.3,적합,적합,적합,634.0,S010000746,874.0,N,적합,610.0,적합,,적합,28.4,N,서울특별시교육청,43.1,서울대왕초등학교,적합,B100000001,1,적합,1168011100.0,적합,2022.0,68.4,적합,,,서울특별시강남서초교육지원청,적합,적합,10.3,1.0,,,0.023,적합,적합,824.0,,,적합,상반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,적합,0.02,74.2,21.5,2.0,308.7,5.8,0.6,20.0,,20.0,50.5,2.0,초,,,,,,,,,,,,,,미실시,,,"기계식환기장치 시스템 고장, 제작사의 사업부분 정리로 AS 및 관리소모품등의 수급이 불가하여 관리 및 운용이 불가한 상황",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,적합,적합,적합,,,,,,,,,19.0,,,해당없음,650.7,S010000746,,N,적합,627.0,해당없음,,적합,9.0,N,서울특별시교육청,,서울대왕초등학교,적합,B100000001,1,,1168011100.0,적합,2022.0,31.0,,,,서울특별시강남서초교육지원청,해당없음,적합,14.6,1.0,,,0.02,적합,적합,,,,해당없음,하반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,적합,0.01,23.3,1.8,,53.3,,0.5,,,5.5,13.3,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,적합,적합,적합,1.7,35.4,실시,,,,,적합,15.6,적합,,적합,826.0,S010000747,716.0,N,적합,274.0,적합,,적합,8.8,N,서울특별시교육청,,서울대진초등학교,적합,B100000001,1,적합,1168010300.0,적합,2022.0,16.4,적합,,,서울특별시강남서초교육지원청,적합,적합,63.4,1.0,,,0.009,적합,적합,383.0,,,적합,상반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,적합,0.023,246.5,0.0,0.0,617.3,0.0,0.6,0.0,0.01,64.5,52.5,2.0,초,,,,,,,,,,,,,,,,,,109.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,적합,적합,적합,,24.3,,,,,,,16.8,,,적합,594.3,S010000747,,N,적합,285.0,적합,,적합,9.4,N,서울특별시교육청,,서울대진초등학교,적합,B100000001,1,,1168010300.0,적합,2022.0,15.8,,,,서울특별시강남서초교육지원청,미실시,적합,19.5,1.0,,,0.03,적합,적합,,,,적합,하반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,적합,0.0,19.2,0.0,,176.3,7.5,0.6,0.0,0.01,5.4,14.9,2.0,초,,,,,,,,,,,,,,,,,,,총 부유세균 검사하여 안 함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
