,SCHUL_CODE,SCHUL_NM,ADRCD_NM,공시년도,BLKB_ITENI_MAX,DES_ITENI_MAX,ITENI_MAX,NSE_MAX,MNUT_DST_MAX,GMNSM_MNUT_DST_MAX,ULTRA_DST_MAX,HCHO_MAX,AIR_BACT_MAX,RN_MAX,O3_MAX,VOCS_MAX,BENZENE_MAX,TOLUENE_MAX,ETHY_BENZENE_MAX,XYLENE_MAX,STYLENE_MAX,ASBESTOS_MAX,CO_MAX,NO2_MAX,FALL_BACT_MAX,MITE_MAX,BLKB_ITENI_SCORE,DES_ITENI_SCORE,ITENI_SCORE,NSE_SCORE,MNUT_DST_SCORE,GMNSM_MNUT_DST_SCORE,ULTRA_DST_SCORE,HCHO_SCORE,AIR_BACT_SCORE,RN_SCORE,O3_SCORE,VOCS_SCORE,BENZENE_SCORE,TOLUENE_SCORE,ETHY_BENZENE_SCORE,XYLENE_SCORE,STYLENE_SCORE,ASBESTOS_SCORE,CO_SCORE,NO2_SCORE,FALL_BACT_SCORE,MITE_SCORE,BLKB_ITENI_WEIGHTED,DES_ITENI_WEIGHTED,ITENI_WEIGHTED,NSE_WEIGHTED,MNUT_DST_WEIGHTED,GMNSM_MNUT_DST_WEIGHTED,ULTRA_DST_WEIGHTED,HCHO_WEIGHTED,AIR_BACT_WEIGHTED,RN_WEIGHTED,O3_WEIGHTED,VOCS_WEIGHTED,BENZENE_WEIGHTED,TOLUENE_WEIGHTED,ETHY_BENZENE_WEIGHTED,XYLENE_WEIGHTED,STYLENE_WEIGHTED,ASBESTOS_WEIGHTED,CO_WEIGHTED,NO2_WEIGHTED,FALL_BACT_WEIGHTED,MITE_WEIGHTED,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,SEM_STR
20,S010000750,서울대현초등학교,서울특별시 강남구,1984,681.0,985.0,1.6,38.1,20.0,14.0,7.0,29.2,564.0,99.4,0.022,122.8,4.5,15.9,5.8,15.2,7.1,0.003579064039408867,0.7,0.02,5.0,20.0,2.27,3.283333333333333,0.5333333333333333,0.6927272727272727,0.26666666666666666,0.09333333333333334,0.2,0.292,0.705,0.6716216216216216,0.36666666666666664,0.307,0.15,0.0159,0.01611111111111111,0.021714285714285714,0.023666666666666666,0.3579064039408867,0.06999999999999999,0.39999999999999997,0.00625,0.2,1.135,1.6416666666666666,0.26666666666666666,0.6927272727272727,0.26666666666666666,0.09333333333333334,0.2,0.8759999999999999,0.705,2.014864864864865,0.36666666666666664,0.4605,0.44999999999999996,0.0318,0.03222222222222222,0.04342857142857143,0.04733333333333333,1.07371921182266,0.06999999999999999,0.39999999999999997,0.00625,0.2,0.5033566125635874,C,상반기
22,S010000751,서울도곡초등학교,서울특별시 강남구,1974,535.0,806.0,1.0,45.6,37.4,38.8,18.4,4.1,310.2,30.0,0.01,48.6,0.0,22.6,3.4,4.8,0.0,0.01,0.3,0.01,0.0,20.0,1.7833333333333334,2.6866666666666665,0.3333333333333333,0.8290909090909091,0.49866666666666665,0.25866666666666666,0.5257142857142857,0.040999999999999995,0.38775,0.20270270270270271,0.16666666666666669,0.1215,0.0,0.022600000000000002,0.009444444444444445,0.006857142857142857,0.0,1.0,0.03,0.19999999999999998,0.0,0.2,0.8916666666666667,1.3433333333333333,0.16666666666666666,0.8290909090909091,0.49866666666666665,0.25866666666666666,0.5257142857142857,0.12299999999999998,0.38775,0.6081081081081081,0.16666666666666669,0.18225,0.0,0.045200000000000004,0.01888888888888889,0.013714285714285714,0.0,3.0,0.03,0.19999999999999998,0.0,0.2,0.4313355974628701,B,상반기
24,S010000752,서울도성초등학교,서울특별시 강남구,1981,414.0,576.0,2.0,39.1,53.6,58.6,37.8,53.6,357.0,45.9,0.019,190.6,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.9,0.025,0.0,0.0,1.38,1.92,0.6666666666666666,0.7109090909090909,0.7146666666666667,0.39066666666666666,1.0799999999999998,0.536,0.44625,0.31013513513513513,0.31666666666666665,0.4765,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.09,0.5,0.0,0.0,0.69,0.96,0.3333333333333333,0.7109090909090909,0.7146666666666667,0.39066666666666666,1.0799999999999998,1.608,0.44625,0.9304054054054054,0.31666666666666665,0.71475,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.09,0.5,0.0,0.0,0.5924474318107816,D,상반기
26,S010000753,서울반원초등학교,서울특별시 서초구,1981,610.0,877.0,1.7,49.6,14.0,18.0,5.0,43.9,172.0,51.8,0.004,100.99499999999999,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.003579064039408867,0.5,0.01,0.859375,20.0,2.033333333333333,2.9233333333333333,0.5666666666666667,0.9018181818181819,0.18666666666666668,0.12,0.14285714285714285,0.439,0.215,0.35,0.06666666666666667,0.2524875,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.3579064039408867,0.05,0.19999999999999998,0.00107421875,0.2,1.0166666666666666,1.4616666666666667,0.2833333333333333,0.9018181818181819,0.18666666666666668,0.12,0.14285714285714285,1.317,0.215,1.0499999999999998,0.06666666666666667,0.37873124999999996,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,1.07371921182266,0.05,0.19999999999999998,0.00107421875,0.2,0.4187907125198796,B,상반기
28,S010000754,서울반포초등학교,서울특별시 서초구,1974,800.0,803.0,1.17,46.5,30.59605263157895,34.85735294117647,16.555165562913906,22.6936214953271,412.7223684210526,45.57369458128079,0.022039473684210525,100.99499999999999,1.7539256198347106,64.64169960474308,12.092168674698794,20.5454,5.707551020408163,0.0031660516605166054,0.6044117647058824,0.012525925925925925,0.859375,18.481372093023257,2.6666666666666665,2.6766666666666667,0.38999999999999996,0.8454545454545455,0.40794736842105267,0.23238235294117648,0.47300473036896873,0.22693621495327101,0.5159029605263157,0.3079303687924378,0.3673245614035088,0.2524875,0.058464187327823686,0.06464169960474309,0.03358935742971887,0.02935057142857143,0.01902517006802721,0.31660516605166056,0.06044117647058824,0.2505185185185185,0.00107421875,0.18481372093023257,1.3333333333333333,1.3383333333333334,0.19499999999999998,0.8454545454545455,0.40794736842105267,0.23238235294117648,0.47300473036896873,0.6808086448598131,0.5159029605263157,0.9237911063773134,0.3673245614035088,0.37873124999999996,0.17539256198347106,0.12928339920948617,0.06717871485943774,0.05870114285714286,0.03805034013605442,0.9498154981549817,0.06044117647058824,0.2505185185185185,0.00107421875,0.18481372093023257,0.4366947035858761,B,상반기
29,S010000755,서울방배초등학교,서울특별시 서초구,1975,593.0,548.0,1.7,39.8,11.4,10.8,4.4,43.9,773.0,140.0,0.017,100.99499999999999,21.0,980.0,322.0,654.0,285.0,0.0031660516605166054,8.0,0.04,8.0,80.0,1.9766666666666666,1.8266666666666667,0.5666666666666667,0.7236363636363636,0.152,0.07200000000000001,0.12571428571428572,0.439,0.96625,0.9459459459459459,0.2833333333333334,0.2524875,0.7,0.98,0.8944444444444445,0.9342857142857143,0.95,0.31660516605166056,0.8,0.7999999999999999,0.01,0.8,0.9883333333333333,0.9133333333333333,0.2833333333333333,0.7236363636363636,0.152,0.07200000000000001,0.12571428571428572,1.317,0.96625,2.8378378378378377,0.2833333333333334,0.37873124999999996,2.0999999999999996,1.96,1.788888888888889,1.8685714285714285,1.9,0.9498154981549817,0.8,0.7999999999999999,0.01,0.8,1.0008535857335057,E,상반기
31,S010000756,서울방일초등학교,서울특별시 서초구,1984,892.0,914.0,1.6,39.4,30.59605263157895,34.85735294117647,16.555165562913906,22.749605475040255,412.7223684210526,44.717089552238804,0.022039473684210525,100.99499999999999,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.003579064039408867,0.6044117647058824,0.012525925925925925,0.859375,18.29357945425361,2.973333333333333,3.046666666666667,0.5333333333333333,0.7163636363636363,0.40794736842105267,0.23238235294117648,0.47300473036896873,0.22749605475040255,0.5159029605263157,0.3021424969745865,0.3673245614035088,0.2524875,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.3579064039408867,0.06044117647058824,0.2505185185185185,0.00107421875,0.1829357945425361,1.4866666666666666,1.5233333333333334,0.26666666666666666,0.7163636363636363,0.40794736842105267,0.23238235294117648,0.47300473036896873,0.6824881642512076,0.5159029605263157,0.9064274909237595,0.3673245614035088,0.37873124999999996,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,1.07371921182266,0.06044117647058824,0.2505185185185185,0.00107421875,0.1829357945425361,0.4579147169163617,B,상반기
33,S010000757,서울방현초등학교,서울특별시 서초구,1990,392.0,482.0,1.31,44.7,30.0,32.8,33.6,48.7,765.0,32.9,0.01,100.99499999999999,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.001,0.5,0.009,0.0,20.0,1.3066666666666666,1.6066666666666667,0.4366666666666667,0.8127272727272727,0.4,0.21866666666666665,0.9600000000000001,0.48700000000000004,0.95625,0.22229729729729727,0.16666666666666669,0.2524875,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,0.1,0.05,0.17999999999999997,0.0,0.2,0.6533333333333333,0.8033333333333333,0.21833333333333335,0.8127272727272727,0.4,0.21866666666666665,0.9600000000000001,1.461,0.95625,0.6668918918918918,0.16666666666666669,0.37873124999999996,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,0.30000000000000004,0.05,0.17999999999999997,0.0,0.2,0.3972945130342746,A,상반기
35,S010000758,서울봉은초등학교,서울특별시 강남구,1982,312.0,337.0,1.3,50.6,51.5,70.6,27.8,33.4,774.0,75.7,0.016,65.3,0.0,16.8,3.4,4.9,0.0,0.01,0.6,0.018,0.0,20.0,1.04,1.1233333333333333,0.43333333333333335,0.92,0.6866666666666666,0.4706666666666666,0.7942857142857143,0.33399999999999996,0.9675,0.5114864864864865,0.26666666666666666,0.16325,0.0,0.016800000000000002,0.009444444444444445,0.007,0.0,1.0,0.06,0.35999999999999993,0.0,0.2,0.52,0.5616666666666666,0.21666666666666667,0.92,0.6866666666666666,0.4706666666666666,0.7942857142857143,1.0019999999999998,0.9675,1.5344594594594596,0.26666666666666666,0.244875,0.0,0.033600000000000005,0.01888888888888889,0.014,0.0,3.0,0.06,0.35999999999999993,0.0,0.2,0.5396337452712452,C,상반기
37,S010000759,서울삼릉초등학교,서울특별시 강남구,1985,333.0,362.0,1.6,44.0,25.6,66.2,19.4,22.749605475040255,614.0,38.5,0.019,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.8,0.012,0.0,20.0,1.11,1.2066666666666668,0.5333333333333333,0.8,0.3413333333333334,0.44133333333333336,0.5542857142857143,0.22749605475040255,0.7675,0.26013513513513514,0.31666666666666665,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.08,0.24,0.0,0.2,0.555,0.6033333333333334,0.26666666666666666,0.8,0.3413333333333334,0.44133333333333336,0.5542857142857143,0.6824881642512076,0.7675,0.7804054054054055,0.31666666666666665,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.08,0.24,0.0,0.2,0.48061431210965433,B,상반기
