SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울신구초등학교,서울특별시 강남구,2,상반기,388.5,0.0,0.0,23.3,0.021,0.0
서울신구초등학교,서울특별시 강남구,2,하반기,680.0,1.603230313293819,0.0,29.9,0.015,0.01
서울신동초등학교,서울특별시 서초구,2,상반기,373.0,1.0,19.0,27.2,0.02,0.002
서울신동초등학교,서울특별시 서초구,2,하반기,156.3,0.7,20.0,27.2,0.02,0.0
서울신중초등학교,서울특별시 서초구,2,상반기,72.0,0.0,0.0,20.4,0.015,0.0
서울신중초등학교,서울특별시 서초구,2,하반기,788.0,0.0,0.0,21.2,0.01,0.0
서울압구정초등학교,서울특별시 강남구,2,상반기,133.0,0.0,20.0,91.0,0.018,0.01
서울압구정초등학교,서울특별시 강남구,2,하반기,39.0,0.0,20.0,82.8,0.01,0.01
서울양재초등학교,서울특별시 서초구,2,상반기,499.5,0.0,20.0,49.75,0.0075,0.0
서울양재초등학교,서울특별시 서초구,2,하반기,235.0,1.603230313293819,20.0,42.4,0.0,0.01
서울양전초등학교,서울특별시 강남구,2,상반기,199.5,1.603230313293819,10.0,31.6,0.013999999999999999,0.0
서울양전초등학교,서울특별시 강남구,2,하반기,564.0,1.603230313293819,20.0,58.8,0.01,0.0
서울언남초등학교,서울특별시 서초구,2,상반기,302.05,0.85,20.0,38.0,0.003,0.003964597478176527
서울언남초등학교,서울특별시 서초구,2,하반기,255.54999999999998,1.7999999999999998,20.0,32.0,0.0,0.003964597478176527
서울언북초등학교,서울특별시 강남구,2,상반기,397.5,0.5,20.0,88.0,0.015,0.01
서울언북초등학교,서울특별시 강남구,2,하반기,282.0,1.0,20.0,88.5,0.02,0.01
서울언주초등학교,서울특별시 강남구,2,상반기,295.0,2.2,10.0,30.9,0.02,0.003964597478176527
서울언주초등학교,서울특별시 강남구,2,하반기,774.3,2.0,19.0,27.3,0.03,0.003964597478176527
서울역삼초등학교,서울특별시 강남구,2,상반기,666.6,2.0,20.0,43.5,0.03,0.001
서울역삼초등학교,서울특별시 강남구,2,하반기,315.7,3.0,20.0,55.2,0.02,0.0
