,SCHUL_CODE,SCHUL_NM,ADRCD_NM,공시년도,BLKB_ITENI_MAX,DES_ITENI_MAX,ITENI_MAX,NSE_MAX,MNUT_DST_MAX,GMNSM_MNUT_DST_MAX,ULTRA_DST_MAX,HCHO_MAX,AIR_BACT_MAX,RN_MAX,O3_MAX,VOCS_MAX,BENZENE_MAX,TOLUENE_MAX,ETHY_BENZENE_MAX,XYLENE_MAX,STYLENE_MAX,ASBESTOS_MAX,CO_MAX,NO2_MAX,FALL_BACT_MAX,MITE_MAX,BLKB_ITENI_SCORE,DES_ITENI_SCORE,ITENI_SCORE,NSE_SCORE,MNUT_DST_SCORE,GMNSM_MNUT_DST_SCORE,ULTRA_DST_SCORE,HCHO_SCORE,AIR_BACT_SCORE,RN_SCORE,O3_SCORE,VOCS_SCORE,BENZENE_SCORE,TOLUENE_SCORE,ETHY_BENZENE_SCORE,XYLENE_SCORE,STYLENE_SCORE,ASBESTOS_SCORE,CO_SCORE,NO2_SCORE,FALL_BACT_SCORE,MITE_SCORE,BLKB_ITENI_WEIGHTED,DES_ITENI_WEIGHTED,ITENI_WEIGHTED,NSE_WEIGHTED,MNUT_DST_WEIGHTED,GMNSM_MNUT_DST_WEIGHTED,ULTRA_DST_WEIGHTED,HCHO_WEIGHTED,AIR_BACT_WEIGHTED,RN_WEIGHTED,O3_WEIGHTED,VOCS_WEIGHTED,BENZENE_WEIGHTED,TOLUENE_WEIGHTED,ETHY_BENZENE_WEIGHTED,XYLENE_WEIGHTED,STYLENE_WEIGHTED,ASBESTOS_WEIGHTED,CO_WEIGHTED,NO2_WEIGHTED,FALL_BACT_WEIGHTED,MITE_WEIGHTED,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,SEM_STR
1,S010000738,서울개일초등학교,서울특별시 강남구,1987,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,21.2,19.6,6.0,19.5,698.0,63.0,0.02,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.0,0.6,0.02,1.391150442477876,10.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.2826666666666667,0.13066666666666668,0.17142857142857143,0.195,0.8725,0.42567567567567566,0.33333333333333337,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.0,0.06,0.39999999999999997,0.001738938053097345,0.1,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.2826666666666667,0.13066666666666668,0.17142857142857143,0.585,0.8725,1.277027027027027,0.33333333333333337,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,0.0,0.06,0.39999999999999997,0.001738938053097345,0.1,0.3806785227485976,A,하반기
3,S010000741,서울구룡초등학교,서울특별시 강남구,1983,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,19.6,13.4,9.2,39.0,779.0,93.4,0.01,82.2,0.0,24.1,2.7,3.0,0.0,0.003579064039408867,0.4,0.0,0.0,0.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.26133333333333336,0.08933333333333333,0.26285714285714284,0.39,0.97375,0.6310810810810811,0.16666666666666669,0.20550000000000002,0.0,0.0241,0.007500000000000001,0.004285714285714286,0.0,0.3579064039408867,0.04,0.0,0.0,0.0,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.26133333333333336,0.08933333333333333,0.26285714285714284,1.17,0.97375,1.8932432432432433,0.16666666666666669,0.30825,0.0,0.0482,0.015000000000000001,0.008571428571428572,0.0,1.07371921182266,0.04,0.0,0.0,0.0,0.43304492763567526,B,하반기
5,S010000742,서울논현초등학교,서울특별시 강남구,1972,573.9061946902655,772.0960176991151,1.4170720720720722,43.50617777777777,38.0,30.0,19.0,43.9,703.0,27.3,0.02,105.68175438596491,1.7539256198347106,64.64169960474308,12.092168674698794,20.5454,5.707551020408163,0.01,0.8,0.01,1.391150442477876,20.0,1.9130206489675516,2.573653392330384,0.4723573573573574,0.791021414141414,0.5066666666666667,0.2,0.5428571428571428,0.439,0.87875,0.18445945945945946,0.33333333333333337,0.26420438596491225,0.058464187327823686,0.06464169960474309,0.03358935742971887,0.02935057142857143,0.01902517006802721,1.0,0.08,0.19999999999999998,0.001738938053097345,0.2,0.9565103244837758,1.286826696165192,0.2361786786786787,0.791021414141414,0.5066666666666667,0.2,0.5428571428571428,1.317,0.87875,0.5533783783783783,0.33333333333333337,0.39630657894736837,0.17539256198347106,0.12928339920948617,0.06717871485943774,0.05870114285714286,0.03805034013605442,3.0,0.08,0.19999999999999998,0.001738938053097345,0.2,0.5431442868523018,C,하반기
7,S010000743,서울대곡초등학교,서울특별시 강남구,1981,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,38.2,47.2,22.2,22.749605475040255,705.0,44.717089552238804,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.003579064039408867,0.6651832460732984,0.01404736842105263,1.391150442477876,18.29357945425361,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.22749605475040255,0.88125,0.3021424969745865,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.3579064039408867,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1829357945425361,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.6824881642512076,0.88125,0.9064274909237595,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,1.07371921182266,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1829357945425361,0.4482519986758094,B,하반기
9,S010000744,서울대도초등학교,서울특별시 강남구,1979,573.9061946902655,772.0960176991151,1.4170720720720722,43.50617777777777,9.0,11.0,3.4,13.4,536.5,19.4,0.02,99.9,1.6,8.3,2.3,5.2,2.2,0.0,0.4,0.02,2.0,20.0,1.9130206489675516,2.573653392330384,0.4723573573573574,0.791021414141414,0.12,0.07333333333333333,0.09714285714285714,0.134,0.670625,0.13108108108108107,0.33333333333333337,0.24975000000000003,0.05333333333333334,0.0083,0.006388888888888888,0.0074285714285714285,0.007333333333333334,0.0,0.04,0.39999999999999997,0.0025,0.2,0.9565103244837758,1.286826696165192,0.2361786786786787,0.791021414141414,0.12,0.07333333333333333,0.09714285714285714,0.402,0.670625,0.3932432432432432,0.33333333333333337,0.37462500000000004,0.16,0.0166,0.012777777777777777,0.014857142857142857,0.014666666666666668,0.0,0.04,0.39999999999999997,0.0025,0.2,0.2998291576283372,A,하반기
11,S010000745,서울대모초등학교,서울특별시 강남구,1994,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,74.6,94.8,34.8,22.646579476861167,733.0,0.0,0.01,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.003944444444444445,0.6651832460732984,0.01404736842105263,1.391150442477876,18.51006036217304,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.9946666666666666,0.632,0.9942857142857142,0.22646579476861167,0.91625,0.0,0.16666666666666669,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,0.3944444444444445,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1851006036217304,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.9946666666666666,0.632,0.9942857142857142,0.679397384305835,0.91625,0.0,0.16666666666666669,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,1.1833333333333336,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1851006036217304,0.4596991472745462,B,하반기
13,S010000746,서울대왕초등학교,서울특별시 강남구,1932,580.9375,768.75,1.3034374999999998,42.4875,31.0,19.0,9.0,14.6,627.0,42.152542372881356,0.02,53.3,1.8,23.3,5.5,13.3,0.9913157894736843,0.0019655172413793106,0.5,0.01,1.391150442477876,18.067741935483873,1.9364583333333334,2.5625,0.4344791666666666,0.7725,0.41333333333333333,0.12666666666666668,0.2571428571428571,0.146,0.78375,0.2848144754924416,0.33333333333333337,0.13324999999999998,0.060000000000000005,0.0233,0.015277777777777777,0.019,0.0033043859649122807,0.19655172413793107,0.05,0.19999999999999998,0.001738938053097345,0.18067741935483872,0.9682291666666667,1.28125,0.2172395833333333,0.7725,0.41333333333333333,0.12666666666666668,0.2571428571428571,0.43799999999999994,0.78375,0.8544434264773249,0.33333333333333337,0.19987499999999997,0.18000000000000002,0.0466,0.030555555555555555,0.038,0.006608771929824561,0.5896551724137932,0.05,0.19999999999999998,0.001738938053097345,0.18067741935483872,0.36225451019366467,A,하반기
15,S010000747,서울대진초등학교,서울특별시 강남구,1992,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,15.8,16.8,9.4,19.5,285.0,24.3,0.03,176.3,0.0,19.2,5.4,14.9,7.5,0.01,0.6,0.0,1.391150442477876,0.0,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.21066666666666667,0.112,0.26857142857142857,0.195,0.35625,0.1641891891891892,0.5,0.44075000000000003,0.0,0.0192,0.015000000000000001,0.021285714285714286,0.025,1.0,0.06,0.0,0.001738938053097345,0.0,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.21066666666666667,0.112,0.26857142857142857,0.585,0.35625,0.4925675675675676,0.5,0.6611250000000001,0.0,0.0384,0.030000000000000002,0.04257142857142857,0.05,3.0,0.06,0.0,0.001738938053097345,0.0,0.44138705235272135,B,하반기
17,S010000748,서울대청초등학교,서울특별시 강남구,1993,561.3138888888889,803.8486507936509,1.4467611336032389,43.18745019920319,25.4,26.8,16.8,29.2,576.0,40.3,0.02,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.01,0.7,0.0,1.391150442477876,0.0,1.8710462962962962,2.679495502645503,0.4822537112010796,0.7852263672582398,0.33866666666666667,0.17866666666666667,0.48000000000000004,0.292,0.72,0.2722972972972973,0.33333333333333337,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,1.0,0.06999999999999999,0.0,0.001738938053097345,0.0,0.9355231481481481,1.3397477513227516,0.2411268556005398,0.7852263672582398,0.33866666666666667,0.17866666666666667,0.48000000000000004,0.8759999999999999,0.72,0.8168918918918919,0.33333333333333337,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,3.0,0.06999999999999999,0.0,0.001738938053097345,0.0,0.4921715334859203,B,하반기
19,S010000749,서울대치초등학교,서울특별시 강남구,1984,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,19.8,10.4,21.1,26.0,112.0,62.0,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.7,0.01,0.0,0.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.264,0.06933333333333333,0.6028571428571429,0.26,0.14,0.4189189189189189,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06999999999999999,0.19999999999999998,0.0,0.0,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.264,0.06933333333333333,0.6028571428571429,0.78,0.14,1.2567567567567568,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06999999999999999,0.19999999999999998,0.0,0.0,0.4868263725867129,B,하반기
