SCHUL_CODE,SCHUL_NM,ADRCD_NM,공시년도,BLKB_ITENI_MAX,DES_ITENI_MAX,ITENI_MAX,NSE_MAX,MNUT_DST_MAX,GMNSM_MNUT_DST_MAX,ULTRA_DST_MAX,HCHO_MAX,AIR_BACT_MAX,RN_MAX,O3_MAX,VOCS_MAX,BENZENE_MAX,TOLUENE_MAX,ETHY_BENZENE_MAX,XYLENE_MAX,STYLENE_MAX,ASBESTOS_MAX,CO_MAX,NO2_MAX,FALL_BACT_MAX,MITE_MAX,BLKB_ITENI_SCORE,DES_ITENI_SCORE,ITENI_SCORE,NSE_SCORE,MNUT_DST_SCORE,GMNSM_MNUT_DST_SCORE,ULTRA_DST_SCORE,HCHO_SCORE,AIR_BACT_SCORE,RN_SCORE,O3_SCORE,VOCS_SCORE,BENZENE_SCORE,TOLUENE_SCORE,ETHY_BENZENE_SCORE,XYLENE_SCORE,STYLENE_SCORE,ASBESTOS_SCORE,CO_SCORE,NO2_SCORE,FALL_BACT_SCORE,MITE_SCORE,BLKB_ITENI_WEIGHTED,DES_ITENI_WEIGHTED,ITENI_WEIGHTED,NSE_WEIGHTED,MNUT_DST_WEIGHTED,GMNSM_MNUT_DST_WEIGHTED,ULTRA_DST_WEIGHTED,HCHO_WEIGHTED,AIR_BACT_WEIGHTED,RN_WEIGHTED,O3_WEIGHTED,VOCS_WEIGHTED,BENZENE_WEIGHTED,TOLUENE_WEIGHTED,ETHY_BENZENE_WEIGHTED,XYLENE_WEIGHTED,STYLENE_WEIGHTED,ASBESTOS_WEIGHTED,CO_WEIGHTED,NO2_WEIGHTED,FALL_BACT_WEIGHTED,MITE_WEIGHTED,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE
S010000738,서울개일초등학교,서울특별시 강남구,1987,502.0,796.0,1.4,38.5,19.6,31.6,7.0,22.749605475040255,793.0,44.717089552238804,0.025,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.2,0.01,1.391150442477876,20.0,1.6733333333333333,2.6533333333333333,0.4666666666666666,0.7,0.26133333333333336,0.21066666666666667,0.2,0.22749605475040255,0.99125,0.3021424969745865,0.4166666666666667,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.02,0.19999999999999998,0.001738938053097345,0.2,0.8366666666666667,1.3266666666666667,0.2333333333333333,0.7,0.26133333333333336,0.21066666666666667,0.2,0.6824881642512076,0.99125,0.9064274909237595,0.4166666666666667,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.02,0.19999999999999998,0.001738938053097345,0.2,0.5059881898044605,C
S010000738,서울개일초등학교,서울특별시 강남구,1987,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,21.2,19.6,6.0,19.5,698.0,63.0,0.02,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.0,0.6,0.02,1.391150442477876,10.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.2826666666666667,0.13066666666666668,0.17142857142857143,0.195,0.8725,0.42567567567567566,0.33333333333333337,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.0,0.06,0.39999999999999997,0.001738938053097345,0.1,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.2826666666666667,0.13066666666666668,0.17142857142857143,0.585,0.8725,1.277027027027027,0.33333333333333337,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,0.0,0.06,0.39999999999999997,0.001738938053097345,0.1,0.3806785227485976,A
S010000741,서울구룡초등학교,서울특별시 강남구,1983,880.0,1015.0,1.9,34.3,68.6,62.2,33.8,24.4,566.0,81.6,0.007,245.8,0.0,145.5,8.4,11.8,6.6,0.003579064039408867,0.5,0.029,1.0,0.0,2.933333333333333,3.3833333333333333,0.6333333333333333,0.6236363636363635,0.9146666666666666,0.4146666666666667,0.9657142857142856,0.244,0.7075,0.5513513513513513,0.11666666666666667,0.6145,0.0,0.1455,0.023333333333333334,0.01685714285714286,0.022,0.3579064039408867,0.05,0.58,0.00125,0.0,1.4666666666666666,1.6916666666666667,0.31666666666666665,0.6236363636363635,0.9146666666666666,0.4146666666666667,0.9657142857142856,0.732,0.7075,1.6540540540540538,0.11666666666666667,0.9217500000000001,0.0,0.291,0.04666666666666667,0.03371428571428572,0.044,1.07371921182266,0.05,0.58,0.00125,0.0,0.5748184030731053,D
S010000741,서울구룡초등학교,서울특별시 강남구,1983,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,19.6,13.4,9.2,39.0,779.0,93.4,0.01,82.2,0.0,24.1,2.7,3.0,0.0,0.003579064039408867,0.4,0.0,0.0,0.0,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.26133333333333336,0.08933333333333333,0.26285714285714284,0.39,0.97375,0.6310810810810811,0.16666666666666669,0.20550000000000002,0.0,0.0241,0.007500000000000001,0.004285714285714286,0.0,0.3579064039408867,0.04,0.0,0.0,0.0,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.26133333333333336,0.08933333333333333,0.26285714285714284,1.17,0.97375,1.8932432432432433,0.16666666666666669,0.30825,0.0,0.0482,0.015000000000000001,0.008571428571428572,0.0,1.07371921182266,0.04,0.0,0.0,0.0,0.43304492763567526,B
S010000742,서울논현초등학교,서울특별시 강남구,1972,344.3,612.3,1.3,45.9,75.3,51.1,25.8,13.8,801.6,18.2,0.018,105.68175438596491,1.7539256198347106,64.64169960474308,12.092168674698794,20.5454,5.707551020408163,0.004,0.4,0.011,3.0,20.0,1.1476666666666666,2.041,0.43333333333333335,0.8345454545454545,1.004,0.3406666666666667,0.7371428571428572,0.138,1.002,0.12297297297297297,0.3,0.26420438596491225,0.058464187327823686,0.06464169960474309,0.03358935742971887,0.02935057142857143,0.01902517006802721,0.4,0.04,0.21999999999999997,0.00375,0.2,0.5738333333333333,1.0205,0.21666666666666667,0.8345454545454545,1.004,0.3406666666666667,0.7371428571428572,0.41400000000000003,1.002,0.3689189189189189,0.3,0.39630657894736837,0.17539256198347106,0.12928339920948617,0.06717871485943774,0.05870114285714286,0.03805034013605442,1.2000000000000002,0.04,0.21999999999999997,0.00375,0.2,0.42458802887576613,B
S010000742,서울논현초등학교,서울특별시 강남구,1972,573.9061946902655,772.0960176991151,1.4170720720720722,43.50617777777777,38.0,30.0,19.0,43.9,703.0,27.3,0.02,105.68175438596491,1.7539256198347106,64.64169960474308,12.092168674698794,20.5454,5.707551020408163,0.01,0.8,0.01,1.391150442477876,20.0,1.9130206489675516,2.573653392330384,0.4723573573573574,0.791021414141414,0.5066666666666667,0.2,0.5428571428571428,0.439,0.87875,0.18445945945945946,0.33333333333333337,0.26420438596491225,0.058464187327823686,0.06464169960474309,0.03358935742971887,0.02935057142857143,0.01902517006802721,1.0,0.08,0.19999999999999998,0.001738938053097345,0.2,0.9565103244837758,1.286826696165192,0.2361786786786787,0.791021414141414,0.5066666666666667,0.2,0.5428571428571428,1.317,0.87875,0.5533783783783783,0.33333333333333337,0.39630657894736837,0.17539256198347106,0.12928339920948617,0.06717871485943774,0.05870114285714286,0.03805034013605442,3.0,0.08,0.19999999999999998,0.001738938053097345,0.2,0.5431442868523018,C
S010000743,서울대곡초등학교,서울특별시 강남구,1981,504.0,646.0,1.3,43.3,38.2,47.2,22.2,34.1,705.0,18.5,0.018,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.6,0.015,0.0,20.0,1.68,2.1533333333333333,0.43333333333333335,0.7872727272727272,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.341,0.88125,0.125,0.3,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06,0.3,0.0,0.2,0.84,1.0766666666666667,0.21666666666666667,0.7872727272727272,0.5093333333333334,0.3146666666666667,0.6342857142857142,1.0230000000000001,0.88125,0.375,0.3,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06,0.3,0.0,0.2,0.5210292738194776,C
S010000743,서울대곡초등학교,서울특별시 강남구,1981,567.5381679389313,745.8166412213741,1.4286249999999998,43.39693597560976,38.2,47.2,22.2,22.749605475040255,705.0,44.717089552238804,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.003579064039408867,0.6651832460732984,0.01404736842105263,1.391150442477876,18.29357945425361,1.891793893129771,2.4860554707379134,0.4762083333333333,0.789035199556541,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.22749605475040255,0.88125,0.3021424969745865,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,0.3579064039408867,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1829357945425361,0.9458969465648855,1.2430277353689567,0.23810416666666664,0.789035199556541,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.6824881642512076,0.88125,0.9064274909237595,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,1.07371921182266,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.1829357945425361,0.4482519986758094,B
S010000744,서울대도초등학교,서울특별시 강남구,1979,301.0,307.0,1.1,45.7,42.4,57.1,19.6,13.4,355.0,32.8,0.01,255.0,0.7,148.1,3.3,7.6,4.6,0.002,0.3,0.02,3.0,19.0,1.0033333333333334,1.0233333333333334,0.3666666666666667,0.8309090909090909,0.5653333333333334,0.38066666666666665,0.56,0.134,0.44375,0.2216216216216216,0.16666666666666669,0.6375,0.02333333333333333,0.14809999999999998,0.009166666666666667,0.010857142857142857,0.015333333333333332,0.2,0.03,0.39999999999999997,0.00375,0.19,0.5016666666666667,0.5116666666666667,0.18333333333333335,0.8309090909090909,0.5653333333333334,0.38066666666666665,0.56,0.402,0.44375,0.6648648648648648,0.16666666666666669,0.9562499999999999,0.06999999999999999,0.29619999999999996,0.018333333333333333,0.021714285714285714,0.030666666666666665,0.6000000000000001,0.03,0.39999999999999997,0.00375,0.19,0.35580779885552616,A
S010000744,서울대도초등학교,서울특별시 강남구,1979,573.9061946902655,772.0960176991151,1.4170720720720722,43.50617777777777,9.0,11.0,3.4,13.4,536.5,19.4,0.02,99.9,1.6,8.3,2.3,5.2,2.2,0.0,0.4,0.02,2.0,20.0,1.9130206489675516,2.573653392330384,0.4723573573573574,0.791021414141414,0.12,0.07333333333333333,0.09714285714285714,0.134,0.670625,0.13108108108108107,0.33333333333333337,0.24975000000000003,0.05333333333333334,0.0083,0.006388888888888888,0.0074285714285714285,0.007333333333333334,0.0,0.04,0.39999999999999997,0.0025,0.2,0.9565103244837758,1.286826696165192,0.2361786786786787,0.791021414141414,0.12,0.07333333333333333,0.09714285714285714,0.402,0.670625,0.3932432432432432,0.33333333333333337,0.37462500000000004,0.16,0.0166,0.012777777777777777,0.014857142857142857,0.014666666666666668,0.0,0.04,0.39999999999999997,0.0025,0.2,0.2998291576283372,A
