설립구분,학교급코드,지역,교육지원청,시도교육청,교육지원청코드,제외여부,예결산구분,세입세출구분,기타/학교일반운영,행정활동수입/교육활동지원,지원금수입/선택적교육활동,학부모부담수입/기본적교육활동,기타이전수입/학생복지_교육격차해소,정보공시 학교코드,정부이전수입/인적자원운용,시도교육청코드,소재지구분코드,분교여부,학교명,학교과정구분명(초-중-고),학교과정구분값(2-3-4),제외사유,연도,학교급코드,예산구분,학교재무활동,학교시설확충,1인당 예산,고등학교 계열 구분명
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,3500000,0,0,0,S010000765,380056000,B100000001,1,N,서울수서초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,173959000,0,0,0,S010000766,534918000,B100000001,1,N,서울신구초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,2000000,0,0,0,S010000767,616934000,B100000001,1,N,서울신동초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,25000000,5350000,0,0,0,S010000768,529977000,B100000001,1,N,서울신중초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,2370000,0,0,0,S010000769,526488000,B100000001,1,N,서울압구정초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,5000000,0,46265000,0,S010000770,473540000,B100000001,1,N,서울양재초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,23000000,2000000,0,0,0,S010000771,443502000,B100000001,1,N,서울양전초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,6200000,0,0,0,S010000772,667679000,B100000001,1,N,서울언남초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,15000000,341012000,0,0,0,S010000773,836124000,B100000001,1,N,서울언북초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,16000000,111980000,0,0,20220000,S010000774,735784000,B100000001,1,N,서울언주초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,4220000,0,40445000,29414000,S010000775,422567000,B100000001,1,N,서울역삼초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,184193000,0,0,0,S010000776,542911000,B100000001,1,N,서울영희초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,0,0,0,0,0,S010000777,490845000,B100000001,1,N,서울왕북초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,2616000,0,2000,0,S010000778,380744000,B100000001,1,N,서울우암초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,10200000,0,0,0,S010000779,600582000,B100000001,1,N,서울원명초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,26500000,0,11194000,0,S010000780,599267000,B100000001,1,N,서울원촌초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,15000000,1540000,0,0,0,S010000781,483606000,B100000001,1,N,서울이수초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,7002000,0,48370000,0,S010000782,552648000,B100000001,1,N,서울일원초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,31000000,8610000,0,0,0,S010000783,669426000,B100000001,1,N,서울잠원초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,11301000,2100000,0,0,6000000,S010000784,445576000,B100000001,1,N,서울청담초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,192201000,0,0,0,S010000785,651297000,B100000001,1,N,서울포이초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,7303000,0,0,0,S010000786,443944000,B100000001,1,N,서울학동초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,20000000,18903000,0,0,0,S010000897,562859000,B100000001,1,N,서울가동초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 송파구,서울특별시강동송파교육지원청,서울특별시교육청,B100000260,N,복식부기,예산세입,16000000,5610000,0,0,0,S010000898,626633000,B100000001,1,N,서울가락초등학교,초,2,,2022,2,세입,,,,
